date,buy,sale,nb
02.01.2017,28.4,29.2,28.422604
03.01.2017,28.3,29.3,28.422604
01.01.2017,28.4,29.2,28.422604
04.01.2017,28.3,29.0,28.422604
05.01.2017,28.7,29.2,27.858822
06.01.2017,29.1,29.7,27.603684
07.01.2017,29.0,29.7,27.603684
08.01.2017,29.0,29.7,27.603684
09.01.2017,29.0,29.7,27.603684
10.01.2017,29.2,29.6,28.612462
11.01.2017,29.3,29.6,28.728326
12.01.2017,29.8,30.4,28.476993
13.01.2017,29.8,30.7,29.102015
14.01.2017,29.8,30.7,29.102015
15.01.2017,29.8,30.7,29.102015
16.01.2017,29.8,30.6,29.498168
17.01.2017,29.4,30.4,29.368201
18.01.2017,29.5,30.5,29.51967
19.01.2017,29.6,30.1,29.317325
20.01.2017,29.6,30.1,29.275295
21.01.2017,29.6,30.1,29.275295
22.01.2017,29.6,30.1,29.275295
23.01.2017,29.7,30.2,29.161971
24.01.2017,29.7,30.2,29.286773
25.01.2017,29.65,30.2,29.268848
26.01.2017,29.55,30.1,29.229702
27.01.2017,29.4,29.9,29.117993
28.01.2017,29.4,30.0,29.117993
29.01.2017,29.4,30.0,29.117993
30.01.2017,29.3,29.7,29.044034
31.01.2017,29.3,29.8,28.827535
01.02.2017,29.4,29.9,29.12404
02.02.2017,29.4,29.8,29.131474
03.02.2017,29.4,29.8,29.167527
04.02.2017,29.4,29.8,29.167527
05.02.2017,29.4,29.8,29.167527
06.02.2017,29.4,29.8,29.084453
07.02.2017,29.2,29.6,29.20384
08.02.2017,29.2,29.6,28.856547
09.02.2017,29.2,29.6,28.70218
10.02.2017,29.2,29.6,28.895283
11.02.2017,29.0,29.5,28.895283
12.02.2017,29.0,29.5,28.895283
13.02.2017,29.0,29.4,28.918143
14.02.2017,28.8,29.3,28.873795
15.02.2017,28.7,29.1,28.92692
16.02.2017,28.8,29.3,28.491748
17.02.2017,28.9,29.4,28.748346
18.02.2017,28.9,29.4,28.748346
19.02.2017,28.9,29.4,28.748346
20.02.2017,28.8,29.2,28.782837
21.02.2017,28.6,29.0,28.690057
22.02.2017,28.4,28.8,28.49472
23.02.2017,28.4,29.0,28.356578
24.02.2017,28.5,28.9,28.448016
25.02.2017,28.5,28.9,28.448016
26.02.2017,28.5,28.9,28.448016
