date,buy,sale,nb
01.01.2016,0.32,0.36,0.32931
02.01.2016,0.32,0.36,0.32931
03.01.2016,0.32,0.36,0.32931
04.01.2016,0.32,0.36,0.32931
05.01.2016,0.32,0.36,0.32931
06.01.2016,0.32,0.36,0.32612
07.01.2016,0.32,0.36,0.32612
08.01.2016,0.32,0.36,0.32612
09.01.2016,0.32,0.36,0.32612
10.01.2016,0.32,0.36,0.32612
11.01.2016,0.31,0.34,0.32226
12.01.2016,0.3,0.34,0.30947
13.01.2016,0.3,0.34,0.30373
14.01.2016,0.31,0.34,0.30934
15.01.2016,0.32,0.34,0.31299
16.01.2016,0.31,0.34,0.31591
17.01.2016,0.31,0.34,0.31591
18.01.2016,0.3,0.34,0.31846
19.01.2016,0.32,0.35,0.31318
20.01.2016,0.32,0.36,0.31654
21.01.2016,0.3,0.34,0.31035
22.01.2016,0.32,0.34,0.3086
23.01.2016,0.32,0.34,0.3086
24.01.2016,0.32,0.34,0.3086
25.01.2016,0.32,0.35,0.3077
26.01.2016,0.32,0.34,0.31916
27.01.2016,0.32,0.34,0.30363
28.01.2016,0.32,0.34,0.31483
29.01.2016,0.34,0.36,0.3251
30.01.2016,0.34,0.36,0.3251
31.01.2016,0.34,0.36,0.3251
01.02.2016,0.33,0.36,0.33995
02.02.2016,0.32,0.36,0.33342
03.02.2016,0.32,0.34,0.33201
04.02.2016,0.34,0.36,0.32423
05.02.2016,0.33,0.35,0.33864
06.02.2016,0.33,0.35,0.33864
07.02.2016,0.33,0.35,0.33864
08.02.2016,0.33,0.35,0.33505
09.02.2016,0.32,0.34,0.33668
10.02.2016,0.31,0.34,0.32975
11.02.2016,0.31,0.34,0.32808
12.02.2016,0.31,0.34,0.3297
13.02.2016,0.31,0.34,0.3297
14.02.2016,0.31,0.34,0.3297
15.02.2016,0.34,0.36,0.32892
16.02.2016,0.34,0.36,0.3448
17.02.2016,0.34,0.36,0.35438
18.02.2016,0.35,0.36,0.34327
19.02.2016,0.34,0.36,0.35069
20.02.2016,0.34,0.36,0.35069
21.02.2016,0.34,0.36,0.35069
22.02.2016,0.34,0.36,0.35167
23.02.2016,0.34,0.36,0.35023
24.02.2016,0.35,0.36,0.35308
25.02.2016,0.35,0.36,0.3563
26.02.2016,0.35,0.36,0.35669
27.02.2016,0.35,0.36,0.35669
28.02.2016,0.35,0.36,0.35669
29.02.2016,0.35,0.36,0.36029
01.03.2016,0.36,0.37,0.35698
02.03.2016,0.36,0.37,0.36575
03.03.2016,0.36,0.37,0.36415
04.03.2016,0.35,0.37,0.35508
05.03.2016,0.35,0.37,0.35508
06.03.2016,0.35,0.37,0.35508
07.03.2016,0.35,0.37,0.35508
08.03.2016,0.35,0.37,0.35508
09.03.2016,0.36,0.37,0.36205
10.03.2016,0.36,0.38,0.36175
11.03.2016,0.36,0.38,0.35896
12.03.2016,0.36,0.38,0.36761
13.03.2016,0.36,0.38,0.36761
14.03.2016,0.36,0.38,0.37009
15.03.2016,0.37,0.38,0.37799
16.03.2016,0.36,0.38,0.38113
17.03.2016,0.38,0.4,0.37796
18.03.2016,0.38,0.39,0.38944
19.03.2016,0.38,0.39,0.38944
20.03.2016,0.38,0.39,0.38944
21.03.2016,0.38,0.39,0.38365
22.03.2016,0.38,0.39,0.38659
23.03.2016,0.38,0.39,0.38513
24.03.2016,0.37,0.38,0.38461
25.03.2016,0.38,0.39,0.38084
26.03.2016,0.38,0.39,0.38084
27.03.2016,0.38,0.39,0.38084
28.03.2016,0.38,0.39,0.38095
29.03.2016,0.38,0.39,0.38772
30.03.2016,0.38,0.39,0.38454
31.03.2016,0.38,0.39,0.3878
01.04.2016,0.38,0.4,0.38638
02.04.2016,0.38,0.4,0.38638
03.04.2016,0.38,0.4,0.38638
04.04.2016,0.36,0.38,0.38886
05.04.2016,0.36,0.38,0.37852
06.04.2016,0.37,0.38,0.37853
07.04.2016,0.37,0.38,0.37883
08.04.2016,0.36,0.38,0.38057
09.04.2016,0.36,0.38,0.38057
10.04.2016,0.36,0.38,0.38057
11.04.2016,0.37,0.38,0.37989
12.04.2016,0.38,0.39,0.38094
13.04.2016,0.38,0.39,0.38515
14.04.2016,0.38,0.39,0.38749
15.04.2016,0.38,0.39,0.38571
16.04.2016,0.38,0.39,0.38571
17.04.2016,0.38,0.39,0.38571
18.04.2016,0.36,0.38,0.38572
19.04.2016,0.38,0.39,0.37328
20.04.2016,0.37,0.38,0.38758
21.04.2016,0.38,0.4,0.38481
22.04.2016,0.37,0.38,0.39021
23.04.2016,0.37,0.38,0.39021
24.04.2016,0.37,0.38,0.39021
25.04.2016,0.37,0.38,0.38272
26.04.2016,0.36,0.38,0.3803
27.04.2016,0.37,0.38,0.38073
28.04.2016,0.37,0.38,0.38696
29.04.2016,0.38,0.39,0.38681
30.04.2016,0.38,0.39,0.38681
01.05.2016,0.38,0.39,0.38681
02.05.2016,0.38,0.39,0.38681
03.05.2016,0.38,0.39,0.38681
04.05.2016,0.37,0.38,0.39172
05.05.2016,0.37,0.38,0.38076
06.05.2016,0.37,0.38,0.38128
07.05.2016,0.37,0.38,0.38128
08.05.2016,0.37,0.38,0.38128
09.05.2016,0.37,0.38,0.38128
10.05.2016,0.37,0.38,0.38014
11.05.2016,0.37,0.38,0.37987
12.05.2016,0.38,0.39,0.38232
13.05.2016,0.38,0.39,0.38967
14.05.2016,0.38,0.39,0.38967
15.05.2016,0.38,0.39,0.38967
16.05.2016,0.38,0.39,0.39199
17.05.2016,0.38,0.39,0.39135
18.05.2016,0.38,0.39,0.39175
19.05.2016,0.37,0.38,0.38819
20.05.2016,0.37,0.38,0.3815
21.05.2016,0.37,0.38,0.3815
22.05.2016,0.37,0.38,0.3815
23.05.2016,0.37,0.38,0.37967
24.05.2016,0.37,0.38,0.37471
25.05.2016,0.37,0.38,0.37485
26.05.2016,0.38,0.38,0.3811
27.05.2016,0.37,0.38,0.38493
28.05.2016,0.37,0.38,0.38493
29.05.2016,0.37,0.38,0.38493
30.05.2016,0.37,0.38,0.38061
31.05.2016,0.37,0.38,0.38083
01.06.2016,0.37,0.38,0.38096
02.06.2016,0.37,0.38,0.37675
03.06.2016,0.37,0.38,0.3753
04.06.2016,0.37,0.38,0.3753
05.06.2016,0.37,0.38,0.3753
06.06.2016,0.37,0.38,0.37399
07.06.2016,0.37,0.38,0.37978
08.06.2016,0.38,0.38,0.3828
09.06.2016,0.38,0.39,0.38566
10.06.2016,0.38,0.39,0.39225
11.06.2016,0.38,0.39,0.39225
12.06.2016,0.38,0.39,0.39225
13.06.2016,0.38,0.38,0.38659
14.06.2016,0.37,0.38,0.38587
15.06.2016,0.37,0.38,0.37732
16.06.2016,0.37,0.38,0.37757
17.06.2016,0.37,0.38,0.37813
18.06.2016,0.37,0.38,0.37813
19.06.2016,0.37,0.38,0.37813
20.06.2016,0.37,0.38,0.37813
21.06.2016,0.38,0.39,0.38064
22.06.2016,0.38,0.39,0.38789
23.06.2016,0.38,0.39,0.39077
24.06.2016,0.36,0.39,0.38685
25.06.2016,0.37,0.39,0.38685
26.06.2016,0.37,0.39,0.38685
27.06.2016,0.37,0.39,0.38685
28.06.2016,0.37,0.39,0.38685
29.06.2016,0.38,0.39,0.37958
30.06.2016,0.38,0.39,0.38679
01.07.2016,0.38,0.39,0.38688
02.07.2016,0.38,0.39,0.38773
03.07.2016,0.38,0.39,0.38773
04.07.2016,0.38,0.39,0.38773
05.07.2016,0.38,0.39,0.38967
06.07.2016,0.38,0.39,0.3866
07.07.2016,0.38,0.39,0.38437
08.07.2016,0.38,0.39,0.38743
09.07.2016,0.38,0.39,0.38743
10.07.2016,0.38,0.39,0.38743
11.07.2016,0.38,0.39,0.38657
12.07.2016,0.38,0.39,0.38709
13.07.2016,0.38,0.39,0.38874
14.07.2016,0.38,0.39,0.38872
15.07.2016,0.38,0.39,0.39005
16.07.2016,0.38,0.39,0.39005
17.07.2016,0.38,0.39,0.39005
18.07.2016,0.38,0.4,0.39271
19.07.2016,0.39,0.4,0.39383
20.07.2016,0.38,0.39,0.39395
21.07.2016,0.38,0.4,0.39124
22.07.2016,0.38,0.38,0.38935
23.07.2016,0.38,0.38,0.38935
24.07.2016,0.38,0.38,0.38935
25.07.2016,0.38,0.39,0.38393
26.07.2016,0.37,0.38,0.38183
27.07.2016,0.37,0.38,0.37701
28.07.2016,0.37,0.38,0.37629
29.07.2016,0.36,0.38,0.37509
30.07.2016,0.36,0.38,0.37509
31.07.2016,0.36,0.38,0.37509
01.08.2016,0.37,0.38,0.36996
02.08.2016,0.36,0.38,0.37576
03.08.2016,0.36,0.38,0.37115
04.08.2016,0.37,0.38,0.37182
05.08.2016,0.37,0.38,0.37366
06.08.2016,0.37,0.38,0.37366
07.08.2016,0.37,0.38,0.37366
08.08.2016,0.37,0.38,0.37835
09.08.2016,0.38,0.38,0.38137
10.08.2016,0.38,0.39,0.38309
11.08.2016,0.38,0.39,0.38289
12.08.2016,0.38,0.39,0.38261
13.08.2016,0.38,0.39,0.38261
14.08.2016,0.38,0.39,0.38261
15.08.2016,0.38,0.4,0.38927
16.08.2016,0.39,0.4,0.39116
17.08.2016,0.39,0.4,0.39185
18.08.2016,0.39,0.4,0.39205
19.08.2016,0.4,0.4,0.39609
20.08.2016,0.39,0.4,0.39609
21.08.2016,0.39,0.4,0.39609
22.08.2016,0.39,0.4,0.3951
23.08.2016,0.39,0.4,0.3939
24.08.2016,0.39,0.4,0.3939
25.08.2016,0.39,0.4,0.39071
26.08.2016,0.39,0.4,0.39
27.08.2016,0.39,0.4,0.39
28.08.2016,0.39,0.4,0.39
29.08.2016,0.39,0.4,0.393
30.08.2016,0.38,0.4,0.39165
31.08.2016,0.39,0.41,0.39521
01.09.2016,0.4,0.41,0.39969
02.09.2016,0.4,0.41,0.40787
03.09.2016,0.4,0.41,0.40787
04.09.2016,0.4,0.41,0.40787
05.09.2016,0.4,0.42,0.40434
06.09.2016,0.4,0.42,0.41361
07.09.2016,0.4,0.42,0.41413
08.09.2016,0.41,0.42,0.4151
09.09.2016,0.4,0.42,0.41639
10.09.2016,0.4,0.41,0.41639
11.09.2016,0.4,0.41,0.41639
12.09.2016,0.4,0.41,0.41574
13.09.2016,0.4,0.41,0.40936
14.09.2016,0.4,0.4,0.40774
15.09.2016,0.39,0.4,0.40524
16.09.2016,0.39,0.4,0.40184
17.09.2016,0.38,0.4,0.40184
18.09.2016,0.38,0.4,0.40184
19.09.2016,0.38,0.4,0.39851
20.09.2016,0.39,0.4,0.39692
21.09.2016,0.39,0.4,0.39853
22.09.2016,0.4,0.41,0.40307
23.09.2016,0.4,0.41,0.40635
24.09.2016,0.4,0.41,0.40635
25.09.2016,0.4,0.41,0.40635
26.09.2016,0.4,0.4,0.40697
27.09.2016,0.4,0.41,0.40376
28.09.2016,0.4,0.41,0.40554
29.09.2016,0.4,0.41,0.40495
30.09.2016,0.4,0.41,0.41027
01.10.2016,0.4,0.41,0.41027
02.10.2016,0.4,0.41,0.41027
03.10.2016,0.4,0.41,0.40913
04.10.2016,0.41,0.42,0.41441
05.10.2016,0.41,0.42,0.41428
06.10.2016,0.41,0.42,0.41465
07.10.2016,0.41,0.42,0.41495
08.10.2016,0.41,0.42,0.41495
09.10.2016,0.41,0.42,0.41495
10.10.2016,0.41,0.42,0.41476
11.10.2016,0.41,0.42,0.41397
12.10.2016,0.4,0.42,0.41566
13.10.2016,0.4,0.42,0.41233
14.10.2016,0.4,0.42,0.41233
15.10.2016,0.4,0.42,0.41233
16.10.2016,0.4,0.42,0.41233
17.10.2016,0.4,0.42,0.40714
18.10.2016,0.4,0.41,0.40828
19.10.2016,0.4,0.41,0.40806
20.10.2016,0.41,0.42,0.41054
21.10.2016,0.4,0.41,0.41179
22.10.2016,0.4,0.41,0.41179
23.10.2016,0.4,0.41,0.41179
24.10.2016,0.4,0.41,0.41093
25.10.2016,0.4,0.42,0.412
26.10.2016,0.41,0.42,0.41251
27.10.2016,0.4,0.42,0.41088
28.10.2016,0.4,0.42,0.40503
29.10.2016,0.4,0.42,0.40503
30.10.2016,0.4,0.42,0.40503
31.10.2016,0.4,0.42,0.40532
01.11.2016,0.4,0.42,0.40361
02.11.2016,0.4,0.42,0.40481
03.11.2016,0.4,0.42,0.40303
04.11.2016,0.4,0.42,0.40304
05.11.2016,0.4,0.42,0.40304
06.11.2016,0.4,0.42,0.40304
07.11.2016,0.4,0.42,0.40275
08.11.2016,0.4,0.42,0.40012
09.11.2016,0.4,0.42,0.40108
10.11.2016,0.4,0.42,0.40008
11.11.2016,0.39,0.42,0.40337
12.11.2016,0.39,0.42,0.40337
13.11.2016,0.39,0.42,0.40337
14.11.2016,0.39,0.42,0.393
15.11.2016,0.4,0.42,0.391
16.11.2016,0.4,0.44,0.39679
17.11.2016,0.4,0.43,0.40817
18.11.2016,0.4,0.42,0.40134
19.11.2016,0.4,0.42,0.40134
20.11.2016,0.4,0.42,0.40134
21.11.2016,0.4,0.42,0.39776
22.11.2016,0.41,0.43,0.40063
23.11.2016,0.4,0.42,0.40326
24.11.2016,0.4,0.42,0.39975
25.11.2016,0.4,0.42,0.39593
26.11.2016,0.4,0.42,0.39593
27.11.2016,0.4,0.42,0.39593
28.11.2016,0.4,0.42,0.3981
29.11.2016,0.4,0.42,0.39528
30.11.2016,0.4,0.42,0.39417
01.12.2016,0.4,0.44,0.39177
02.12.2016,0.4,0.44,0.40261
03.12.2016,0.4,0.44,0.40261
04.12.2016,0.4,0.44,0.40261
05.12.2016,0.41,0.43,0.4037
06.12.2016,0.41,0.43,0.40873
07.12.2016,0.4,0.42,0.40858
08.12.2016,0.4,0.42,0.40713
09.12.2016,0.4,0.42,0.40657
10.12.2016,0.4,0.44,0.40657
11.12.2016,0.4,0.44,0.40657
12.12.2016,0.42,0.44,0.40882
13.12.2016,0.42,0.44,0.42499
14.12.2016,0.43,0.45,0.42753
15.12.2016,0.42,0.46,0.43263
16.12.2016,0.42,0.46,0.42667
17.12.2016,0.41,0.46,0.42667
18.12.2016,0.41,0.46,0.42667
19.12.2016,0.41,0.45,0.42642
20.12.2016,0.42,0.44,0.42717
21.12.2016,0.42,0.44,0.42835
22.12.2016,0.42,0.44,0.43249
23.12.2016,0.43,0.44,0.43188
24.12.2016,0.42,0.44,0.43188
25.12.2016,0.42,0.44,0.43188
26.12.2016,0.42,0.44,0.43164
27.12.2016,0.42,0.45,0.43287
28.12.2016,0.42,0.46,0.43791
29.12.2016,0.43,0.47,0.44329
30.12.2016,0.44,0.47,0.45113
31.12.2016,0.44,0.47,0.45113
