date,buy,sale,nb
02.11.2017,31.1,31.5,31.211202
04.11.2017,31.15,31.55,31.36159
03.11.2017,31.15,31.55,31.36159
01.11.2017,31.0,31.4,31.262018
05.11.2017,31.15,31.55,31.36159
06.11.2017,31.15,31.55,31.430358
07.11.2017,31.0,31.4,31.119553
08.11.2017,30.9,31.3,30.929838
09.11.2017,30.9,31.3,30.871409
10.11.2017,30.85,31.25,30.887623
11.11.2017,30.85,31.25,30.887623
12.11.2017,30.85,31.25,30.887623
13.11.2017,30.85,31.25,30.902597
14.11.2017,30.85,31.25,30.874358
15.11.2017,31.0,31.5,31.119989
16.11.2017,31.2,31.7,31.35495
17.11.2017,31.2,31.7,31.165379
18.11.2017,31.3,31.7,31.165379
19.11.2017,31.3,31.7,31.165379
20.11.2017,31.3,31.7,31.255673
21.11.2017,31.1,31.6,31.192648
22.11.2017,31.1,31.4,31.043573
23.11.2017,31.3,31.7,31.308221
24.11.2017,31.5,31.9,31.825434
25.11.2017,31.5,32.0,31.825434
26.11.2017,31.5,32.0,31.825434
27.11.2017,31.5,32.0,31.965337
28.11.2017,31.7,32.15,32.073516
29.11.2017,31.7,32.15,31.945227
30.11.2017,31.8,32.2,31.949375
01.12.2017,31.9,32.3,32.176965
02.12.2017,31.9,32.3,32.176965
03.12.2017,31.9,32.3,32.176965
04.12.2017,32.0,32.3,32.154059
05.12.2017,32.0,32.35,32.290975
06.12.2017,32.0,32.35,32.181672
07.12.2017,31.9,32.3,32.034884
08.12.2017,31.9,32.35,31.962881
09.12.2017,31.8,32.1,31.962881
10.12.2017,31.8,32.1,31.962881
11.12.2017,31.8,32.1,31.831793
12.12.2017,31.9,32.3,32.009295
13.12.2017,32.0,32.3,31.976583
14.12.2017,32.0,32.6,32.001126
15.12.2017,32.4,32.9,32.467152
16.12.2017,32.6,33.05,32.467152
17.12.2017,32.6,33.05,32.467152
18.12.2017,32.6,33.05,32.625955
19.12.2017,32.7,33.2,32.876952
20.12.2017,32.7,33.2,32.967613
21.12.2017,32.8,33.3,33.001202
22.12.2017,32.8,33.3,33.034353
23.12.2017,32.9,33.3,33.034353
24.12.2017,32.9,33.3,33.034353
25.12.2017,32.9,33.3,33.034353
26.12.2017,32.9,33.3,33.130227
27.12.2017,32.8,33.2,33.122695
28.12.2017,32.8,33.2,33.2447
29.12.2017,33.1,33.6,33.495424
30.12.2017,33.3,33.9,33.495424
31.12.2017,33.3,33.9,33.495424
