date,buy,sale,nb
02.11.2017,0.45,0.48,0.46218
04.11.2017,0.44,0.47,0.46364
03.11.2017,0.45,0.48,0.46364
01.11.2017,0.445,0.47,0.4622
05.11.2017,0.44,0.47,0.46364
06.11.2017,0.44,0.47,0.46146
07.11.2017,0.44,0.47,0.45953
08.11.2017,0.44,0.47,0.45763
09.11.2017,0.44,0.47,0.44957
10.11.2017,0.44,0.47,0.44823
11.11.2017,0.44,0.47,0.44823
12.11.2017,0.44,0.47,0.44823
13.11.2017,0.44,0.47,0.44731
14.11.2017,0.44,0.47,0.44757
15.11.2017,0.435,0.46,0.44442
16.11.2017,0.43,0.46,0.43955
17.11.2017,0.43,0.46,0.44135
18.11.2017,0.435,0.46,0.44135
19.11.2017,0.435,0.46,0.44135
20.11.2017,0.435,0.46,0.44437
21.11.2017,0.435,0.46,0.44669
22.11.2017,0.435,0.46,0.44554
23.11.2017,0.44,0.47,0.45161
24.11.2017,0.44,0.47,0.45947
25.11.2017,0.44,0.47,0.45947
26.11.2017,0.44,0.47,0.45947
27.11.2017,0.44,0.47,0.45981
28.11.2017,0.45,0.47,0.46048
29.11.2017,0.45,0.47,0.46004
30.11.2017,0.45,0.47,0.46311
01.12.2017,0.45,0.47,0.46356
02.12.2017,0.45,0.47,0.46356
03.12.2017,0.45,0.47,0.46356
04.12.2017,0.45,0.47,0.46232
05.12.2017,0.45,0.47,0.46135
06.12.2017,0.45,0.47,0.46283
07.12.2017,0.45,0.47,0.46004
08.12.2017,0.45,0.47,0.45736
09.12.2017,0.45,0.47,0.45736
10.12.2017,0.45,0.47,0.45736
11.12.2017,0.45,0.47,0.4573
12.12.2017,0.45,0.47,0.4581
13.12.2017,0.45,0.47,0.46191
14.12.2017,0.455,0.48,0.46103
15.12.2017,0.46,0.49,0.46689
16.12.2017,0.46,0.49,0.46689
17.12.2017,0.46,0.49,0.46689
18.12.2017,0.46,0.49,0.4692
19.12.2017,0.465,0.49,0.4749
20.12.2017,0.46,0.49,0.47575
21.12.2017,0.465,0.49,0.47449
22.12.2017,0.465,0.49,0.47569
23.12.2017,0.465,0.49,0.47569
24.12.2017,0.465,0.49,0.47569
25.12.2017,0.465,0.49,0.47569
26.12.2017,0.465,0.49,0.47931
27.12.2017,0.465,0.49,0.48402
28.12.2017,0.465,0.49,0.48645
29.12.2017,0.47,0.5,0.48703
30.12.2017,0.47,0.5,0.48703
31.12.2017,0.47,0.5,0.48703
