date,buy,sale,nb
02.11.2017,26.75,27.0,26.878403
04.11.2017,26.8,27.1,26.931378
03.11.2017,26.8,27.05,26.931378
01.11.2017,26.7,26.95,26.862019
05.11.2017,26.8,27.1,26.931378
06.11.2017,26.85,27.1,26.962647
07.11.2017,26.75,27.0,26.850348
08.11.2017,26.7,26.95,26.751287
09.11.2017,26.7,26.95,26.636246
10.11.2017,26.6,26.85,26.558575
11.11.2017,26.5,26.8,26.558575
12.11.2017,26.5,26.8,26.558575
13.11.2017,26.5,26.8,26.51673
14.11.2017,26.55,26.8,26.487953
15.11.2017,26.5,26.8,26.496372
16.11.2017,26.5,26.8,26.482221
17.11.2017,26.5,26.8,26.476407
18.11.2017,26.55,26.8,26.476407
19.11.2017,26.55,26.8,26.476407
20.11.2017,26.55,26.8,26.499087
21.11.2017,26.5,26.8,26.47708
22.11.2017,26.5,26.75,26.492211
23.11.2017,26.65,26.9,26.647562
24.11.2017,26.7,26.95,26.86144
25.11.2017,26.75,26.95,26.86144
26.11.2017,26.75,26.95,26.86144
27.11.2017,26.75,26.95,26.913646
28.11.2017,26.7,26.95,26.835271
29.11.2017,26.7,27.0,26.871826
30.11.2017,26.9,27.15,27.01393
01.12.2017,26.9,27.15,27.155849
02.12.2017,26.95,27.15,27.155849
03.12.2017,26.95,27.15,27.155849
04.12.2017,27.0,27.2,27.05432
05.12.2017,27.0,27.25,27.215318
06.12.2017,27.05,27.25,27.164406
07.12.2017,27.05,27.25,27.109151
08.12.2017,27.05,27.25,27.119363
09.12.2017,27.05,27.25,27.119363
10.12.2017,27.05,27.25,27.119363
11.12.2017,27.05,27.25,27.109345
12.12.2017,27.1,27.35,27.13572
13.12.2017,27.2,27.4,27.177106
14.12.2017,27.3,27.7,27.26749
15.12.2017,27.5,27.9,27.410006
16.12.2017,27.65,28.0,27.410006
17.12.2017,27.65,28.0,27.410006
18.12.2017,27.65,28.0,27.635063
19.12.2017,27.8,28.2,27.873635
20.12.2017,27.7,28.1,27.884304
21.12.2017,27.65,28.0,27.860871
22.12.2017,27.7,28.0,27.855935
23.12.2017,27.8,28.1,27.855935
24.12.2017,27.8,28.1,27.855935
25.12.2017,27.8,28.1,27.855935
26.12.2017,27.8,28.1,27.950921
27.12.2017,27.7,28.0,27.944567
28.12.2017,27.75,28.0,27.948466
29.12.2017,27.85,28.15,28.067223
30.12.2017,27.9,28.3,28.067223
31.12.2017,27.9,28.3,28.067223
