date,buy,sale,nb
01.01.2019,27.650000,28.150000,27.688264
02.01.2019,27.650000,28.100000,27.688264
03.01.2019,27.600000,27.900000,27.688264
04.01.2019,27.550000,27.900000,27.511682
05.01.2019,27.650000,28.100000,27.511682
06.01.2019,27.650000,28.100000,27.511682
07.01.2019,27.650000,28.100000,27.511682
08.01.2019,27.650000,28.100000,27.709400
09.01.2019,27.750000,28.200000,28.023739
10.01.2019,27.850000,28.250000,28.122133
11.01.2019,27.900000,28.300000,28.270148
12.01.2019,27.800000,28.200000,28.270148
13.01.2019,27.800000,28.200000,28.270148
14.01.2019,27.800000,28.150000,28.153842
15.01.2019,27.800000,28.200000,28.023674
16.01.2019,27.750000,28.150000,28.166809
17.01.2019,27.750000,28.150000,28.008502
18.01.2019,27.750000,28.150000,28.033609
19.01.2019,27.750000,28.150000,28.033609
20.01.2019,27.750000,28.150000,28.033609
21.01.2019,27.750000,28.150000,27.980832
22.01.2019,27.750000,28.150000,27.948597
23.01.2019,27.700000,28.100000,27.895838
24.01.2019,27.600000,28.000000,27.703713
25.01.2019,27.500000,27.950000,27.786528
26.01.2019,27.500000,27.900000,27.786528
27.01.2019,27.500000,27.900000,27.786528
28.01.2019,27.500000,27.900000,27.817285
29.01.2019,27.500000,27.900000,27.790097
30.01.2019,27.500000,27.850000,27.772064
31.01.2019,27.500000,27.750000,27.755525
01.02.2019,27.400000,27.650000,27.740960
02.02.2019,27.350000,27.650000,27.740960
03.02.2019,27.350000,27.650000,27.740960
04.02.2019,27.350000,27.600000,27.570704
05.02.2019,27.150000,27.550000,27.423692
06.02.2019,26.800000,27.200000,27.215854
07.02.2019,26.800000,27.100000,26.964088
08.02.2019,26.900000,27.150000,26.959350
09.02.2019,26.900000,27.200000,26.959350
10.02.2019,26.900000,27.200000,26.959350
11.02.2019,27.000000,27.250000,26.899993
12.02.2019,26.900000,27.200000,27.057716
13.02.2019,26.950000,27.250000,27.007494
14.02.2019,27.000000,27.350000,27.092791
15.02.2019,27.050000,27.350000,27.159961
16.02.2019,27.050000,27.350000,27.159961
17.02.2019,27.050000,27.350000,27.159961
18.02.2019,27.050000,27.350000,27.247894
19.02.2019,26.950000,27.250000,27.185914
20.02.2019,26.950000,27.250000,27.173251
21.02.2019,26.900000,27.200000,27.087563
